                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.47827,                0.57051,                 1.1623,                0.90351,                0.89743,                0.91499,                0.78609,                0.66407,                 0.5936,                 1.1649,              0.0001719,              0.0001719,              0.0001719
                     70,                0.48005,                0.56523,                 1.1652,                 0.9115,                0.89111,                0.91911,                0.78894,                0.66073,                0.57831,                 1.1584,             0.00016669,             0.00016669,             0.00016669
                     71,                0.48071,                0.56544,                 1.1664,                0.90901,                0.89899,                0.91423,                0.78418,                0.65941,                0.58139,                 1.1618,             0.00016148,             0.00016148,             0.00016148
                     72,                0.48016,                 0.5571,                 1.1642,                0.90437,                0.90328,                0.91376,                0.78749,                0.64406,                 0.5703,                 1.1355,             0.00015627,             0.00015627,             0.00015627
                     73,                0.47931,                0.55133,                 1.1661,                0.89343,                0.90358,                0.91649,                0.79166,                0.64708,                0.58112,                 1.1412,             0.00015107,             0.00015107,             0.00015107
                     74,                0.47808,                0.54535,                 1.1615,                 0.8859,                0.90154,                0.91276,                0.78997,                0.64232,                 0.5787,                 1.1353,             0.00014586,             0.00014586,             0.00014586
                     75,                 0.4704,                0.54091,                 1.1615,                 0.9042,                0.88706,                0.91643,                0.79327,                0.63482,                0.57753,                 1.1314,             0.00014065,             0.00014065,             0.00014065
                     76,                0.47536,                0.54859,                 1.1607,                0.90358,                0.88731,                0.91017,                0.78633,                0.64668,                0.59888,                 1.1355,             0.00013544,             0.00013544,             0.00013544
                     77,                 0.4736,                0.55832,                 1.1592,                0.89801,                0.91019,                0.91337,                0.78918,                0.64735,                0.58693,                 1.1459,             0.00013024,             0.00013024,             0.00013024
                     78,                0.47103,                0.55308,                 1.1577,                0.90724,                 0.8993,                0.91486,                0.79083,                0.64705,                 0.5754,                 1.1414,             0.00012503,             0.00012503,             0.00012503
                     79,                0.46277,                0.53171,                 1.1496,                0.90598,                0.89462,                0.91509,                0.79151,                0.64417,                 0.5636,                 1.1367,             0.00011982,             0.00011982,             0.00011982
                     80,                0.46993,                0.52915,                  1.154,                0.92971,                0.87594,                0.91582,                0.78767,                 0.6555,                0.56962,                 1.1506,             0.00011462,             0.00011462,             0.00011462
                     81,                0.45599,                0.51662,                 1.1448,                0.91709,                0.88927,                0.91455,                0.79128,                0.64774,                0.58449,                 1.1421,             0.00010941,             0.00010941,             0.00010941
                     82,                 0.4625,                0.51588,                 1.1536,                0.91359,                0.88818,                0.91475,                0.79242,                0.63754,                0.57267,                  1.139,              0.0001042,              0.0001042,              0.0001042
                     83,                 0.4623,                 0.5091,                 1.1502,                0.89734,                0.90215,                0.91558,                0.79272,                0.64492,                0.57674,                 1.1478,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     84,                0.45861,                0.50852,                 1.1473,                0.90338,                0.89695,                0.91699,                0.79514,                 0.6451,                 0.5727,                 1.1482,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     85,                0.46196,                 0.5143,                 1.1466,                0.90862,                0.89422,                0.91558,                0.79199,                0.65215,                0.57901,                 1.1592,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     86,                0.45581,                0.50863,                 1.1458,                  0.914,                0.88638,                0.91684,                0.79324,                0.64559,                0.56913,                 1.1478,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     87,                0.45465,                0.50474,                 1.1424,                0.90519,                0.89416,                0.91413,                 0.7921,                 0.6431,                0.57213,                  1.147,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     88,                0.45609,                0.49831,                 1.1484,                0.89015,                0.90652,                0.91297,                0.79169,                0.64182,                0.58308,                 1.1436,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     89,                0.45165,                0.49889,                 1.1389,                0.90573,                 0.8928,                0.91572,                0.79283,                0.64367,                0.58512,                 1.1418,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     90,                0.44945,                0.50372,                  1.139,                0.91836,                0.87792,                0.91382,                0.79178,                0.64714,                 0.5798,                 1.1463,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     91,                0.36986,                  0.368,                 1.1571,                0.90424,                0.89298,                0.91183,                0.78713,                0.64625,                0.58275,                 1.1485,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     92,                0.35728,                0.33181,                 1.1472,                0.91246,                0.88504,                 0.9118,                 0.7905,                 0.6315,                0.56753,                 1.1359,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     93,                0.35308,                 0.3252,                 1.1411,                 0.9033,                  0.899,                0.91248,                 0.7906,                0.62918,                0.56933,                 1.1346,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     94,                0.34757,                0.31994,                 1.1341,                0.90926,                0.89086,                0.91103,                0.79071,                0.63168,                0.57345,                  1.135,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     95,                0.34711,                0.30883,                 1.1347,                0.89348,                0.90436,                0.90981,                0.79049,                0.62897,                0.58131,                 1.1346,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     96,                0.34165,                0.30654,                 1.1247,                0.90737,                 0.8899,                0.90916,                 0.7901,                0.62777,                 0.5801,                 1.1346,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     97,                0.34046,                0.30664,                  1.125,                0.90182,                0.89605,                0.91126,                0.79072,                0.62618,                0.57253,                 1.1329,              2.609e-05,              2.609e-05,              2.609e-05
                     98,                0.33871,                  0.302,                 1.1268,                0.91266,                 0.8895,                0.91147,                0.79165,                0.62433,                0.56911,                 1.1341,             2.0882e-05,             2.0882e-05,             2.0882e-05
                     99,                0.33862,                0.30198,                 1.1284,                0.90904,                0.88731,                0.91275,                0.79174,                0.62425,                0.56708,                 1.1332,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    100,                0.33293,                0.29371,                 1.1206,                0.91606,                0.88187,                0.91306,                0.79355,                0.62661,                0.57087,                 1.1377,             1.0467e-05,             1.0467e-05,             1.0467e-05
